postcode,month,Category,Category_Spend,lag_1,lag_2,lag_3,Average_Age,Average_Income,Population_Size,Employment_Rate,Consumer_Confidence,Market_Saturation,Savings_Rate,Credit_Utilization,Gender_Female,Gender_Male,Age_Group_20-30,Age_Group_30-40,Age_Group_40-50,Age_Group_50-60,Age_Group_60+,Age_Group_<20,Predicted_Spend,latitude,longitude
AB10 1XG,12,Utilities,2484.9,5031.400000000001,5309.700000000001,4876.0,49,28835,49154,72.58,90.95,9,0.4755473344797889,0.4142633300907177,False,True,False,False,False,False,False,True,3128.88408,57.144165,-2.114848
AB10 6RN,12,Utilities,3502.0,4712.0,967.0,4978.0,49,74532,12688,87.46,74.28,9,0.4615832831261082,0.4294274266205827,True,False,False,False,False,False,False,True,3243.23104,57.13788,-2.121487
AB10 7JB,12,Food,8676.5,6168.75,3090.0,1290.0,62,58919,44551,94.51,89.18,8,0.3975348738400332,0.6087047735089457,False,True,False,False,True,False,False,False,2634.7297,57.124274,-2.12719
AB11 5QN,12,Shopping,5171.205,1475.0,3247.0,4654.049999999999,59,89321,10603,53.0,94.86,5,0.5879955200436396,0.4295972078229453,True,False,False,False,False,True,False,False,2819.3582999999994,57.142701,-2.093295
AB11 6UL,12,Food,4908.75,4467.5,4534.0,2824.0,24,41359,11886,96.62,95.07,3,0.4081488258468646,0.5544267673503656,False,True,False,True,False,False,False,False,2987.21376,57.137547,-2.112233
AB11 8RQ,12,Utilities,2837.0,3152.0,1206.0,1751.2,58,43876,49305,85.68,72.41,9,0.4799587606706621,0.6236646313984412,False,True,False,False,True,False,False,False,2650.5887600000005,57.135978,-2.072115
AB12 3FJ,12,Food,7507.499999999999,1691.25,3401.0,1173.0,32,102524,23474,65.39,88.18,2,0.2309567099070209,0.6381293359627449,False,True,True,False,False,False,False,False,2973.99504,57.098003,-2.077438
AB12 4NA,12,Food,2791.25,3753.75,4645.0,3052.0,34,108555,33908,74.87,96.73,3,0.3883206473141428,0.4434126687090672,False,True,False,False,False,True,False,False,3143.9419,57.064273,-2.130018
AB12 5GL,12,Healthcare,1903.0,4026.1,3656.9,4622.8,34,94535,35267,79.09,76.37,2,0.2401300327263051,0.5582221901769567,True,False,True,False,False,False,False,False,3020.566939999999,57.081938,-2.246567
AB12 9SP,12,Healthcare,3543.0,3824.0,2901.6,3968.9,44,104211,41317,98.71,61.39,3,0.3377559992021145,0.4725058181642988,False,True,False,True,False,False,False,False,2880.7714,57.148707,-2.097806
AB14 0TQ,12,Healthcare,3606.0,2302.0,1725.0,3441.0,63,27753,41622,86.77,70.68,5,0.2815842419639293,0.7267202722939062,False,True,True,False,False,False,False,False,2473.6669,57.101557,-2.268486
AB15 5HB,12,Food,8729.0,5890.0,1445.0,2980.0,30,68657,43089,68.54,82.75,8,0.4423208503698383,0.3049348532326297,False,True,False,False,False,False,False,True,3089.3832199999993,57.147428,-2.147266
AB15 6NA,12,Utilities,3932.500000000001,2059.2000000000003,1381.6,5247.0,49,28334,43745,72.31,65.11,7,0.2010854934671802,0.3752568035751917,False,True,True,False,False,False,False,False,3313.4233999999997,57.151797,-2.185398
AB15 8UF,12,Shopping,5760.3,1152.3,3619.0,3604.0,45,55202,25237,80.71,74.52,1,0.6445665004233866,0.3675169464090822,False,True,False,False,False,False,True,False,3050.8861799999995,57.154006,-2.224402
AB15 9SE,12,Food,7831.249999999999,2500.0,4524.0,4008.0,61,88087,34039,83.75,77.88,4,0.5084043118347541,0.4498068662171203,False,True,False,True,False,False,False,False,2949.56272,57.118648,-2.174251
AB16 5ST,12,Utilities,4474.0,4051.0,3320.0,1945.9,42,50884,17150,53.16,86.18,8,0.5961268919984302,0.3375471529292848,True,False,False,True,False,False,False,False,2562.5067,57.163466,-2.159333
AB16 6SZ,12,Utilities,2120.0,4319.0,4972.0,4924.700000000001,65,72290,36888,85.51,68.08,1,0.2462187763966059,0.6860704038537998,True,False,False,True,False,False,False,False,3018.33624,57.158751,-2.165215
AB16 7NX,12,Utilities,3572.0,4673.0,2464.0,4681.0,40,91003,24106,83.51,60.49,1,0.204637617803703,0.8801971094765947,False,True,False,False,True,False,False,False,3036.3709500000004,57.168438,-2.161636
AB21 0AL,12,Shopping,2613.63375,3193.0,4094.0,2411.55,50,98981,24688,99.93,70.42,9,0.5999349376597066,0.4317778433191064,True,False,False,True,False,False,False,False,2791.2220500000003,57.26342,-2.158605
AB21 0TF,12,Healthcare,3607.5,3782.0,1961.7,3269.0,62,103151,39782,92.75,61.17,5,0.321378526994104,0.56249278908901,False,True,False,False,False,True,False,False,2976.133,57.221883,-2.273318
AB21 0TG,12,Shopping,6813.299999999999,4049.1,3019.9,3545.91,64,43811,13813,51.05,79.0,1,0.3312824398335969,0.7779600116096629,True,False,False,False,False,True,False,False,3127.6753000000003,57.191695,-2.287688
AB21 0TH,12,Healthcare,3642.0,3545.1,2671.5,3877.9,69,90283,8004,83.19,60.06,9,0.6190646488713905,0.3970816968098994,True,False,False,False,True,False,False,False,3167.7236000000003,57.194003,-2.279979
AB21 0TJ,12,Shopping,2872.3500000000004,2287.35,4256.15,2323.0,36,45641,19332,98.65,82.31,2,0.4551474365367582,0.3507622265557815,True,False,False,False,False,False,True,False,2930.7739,57.201902,-2.278665
AB21 0TL,12,Utilities,5262.400000000001,3320.9,4151.0,3007.0,27,70575,25029,81.43,63.53,7,0.5537507957291414,0.423118782059722,True,False,False,False,False,True,False,False,3074.8427,57.197769,-2.278898
AB21 0TN,12,Healthcare,2063.1,2013.7,3230.5,720.0,21,44474,38693,58.62,86.33,4,0.3970800016455706,0.502319841270078,False,True,False,False,False,True,False,False,3130.522299999999,57.187418,-2.27614
AB21 0TP,12,Utilities,4052.400000000001,4576.0,4730.0,923.0,18,28468,27212,63.39,67.27,3,0.3185179504084094,0.8033336722282085,False,True,False,True,False,False,False,False,3005.6663800000006,57.186995,-2.288644
AB21 0TQ,12,Utilities,3472.7000000000003,4728.0,824.0,3631.1,54,57985,36408,85.41,63.19,8,0.2999710128268224,0.5594163638173008,True,False,False,False,False,False,True,False,3059.6464899999987,57.182373,-2.294582
AB21 0TR,12,Healthcare,5070.0,2368.6,3269.0,1495.0,23,116535,16436,56.92,63.18,4,0.5584676574325618,0.4128993971824517,True,False,False,False,False,True,False,False,3211.4307,57.178136,-2.300716
AB21 0TS,12,Food,8473.5,4095.0,2595.0,3610.0,18,46886,38333,50.83,94.97,4,0.6680412315019767,0.3263152778929877,True,False,True,False,False,False,False,False,2784.5910399999993,57.184608,-2.303068
AB21 0TT,12,Utilities,3648.0,1937.1,4214.0,4695.0,42,59685,7848,69.58,61.31,7,0.2395775388364571,0.6691820523336328,True,False,True,False,False,False,False,False,2904.9931,57.1909,-2.257899
AB21 0TU,12,Food,7806.749999999999,2638.75,4153.0,4677.0,39,44616,39475,71.25,77.7,8,0.3519208266383025,0.5892959395772706,True,False,False,False,False,False,False,True,3124.9073000000003,57.196678,-2.242318
AB21 0TW,12,Healthcare,1392.0,1443.0,2179.0,5027.1,18,67025,16595,72.34,65.88,8,0.4658505932114231,0.3748858726165584,True,False,False,True,False,False,False,False,3038.7272899999994,57.207544,-2.286322
AB21 0TX,12,Shopping,7866.299999999999,2195.0,4159.549999999999,3436.0,29,43419,32413,80.67,66.7,1,0.6797295407806798,0.3767777305533185,True,False,False,False,False,False,False,True,2666.8943,57.197915,-2.26576
AB21 0TY,12,Food,4649.75,3377.5,2351.0,3388.0,32,49730,44550,74.9,83.2,8,0.4620835409370826,0.4187310020798883,False,True,False,False,True,False,False,False,2913.1589999999997,57.199615,-2.264812
AB21 0TZ,12,Food,4012.75,1978.75,3360.0,2876.0,55,55498,11990,75.39,65.14,2,0.4761752701417509,0.3683204095398056,False,True,False,False,False,False,False,True,2620.0621,57.18946,-2.274964
AB21 0UA,12,Utilities,4844.0,2753.0,1819.0,1418.0,36,76632,9429,51.93,96.12,4,0.6358757713412744,0.3637968712956662,False,True,False,False,False,False,False,True,2578.78516,57.263784,-2.187685
